"점수","긴급도","회사","회사코드","헤드라인","부제(N1)","방향(GOOD/BAD/MIXED)","출고리스크","가치방향","산업트렌드대비","스토리각도","추가확인필요","IR질문후보","교차검증","보도여부","보도수","단서유형","severity","정보격차","사실매칭","비교페어_과거","비교페어_최신","비교id","단서id","출처경로","단서생성일","N1검증일"
"","THIS_WEEK","(주)신화다이나믹스","00137809","신화다이나믹스, 수익성 급락 경보…수요 감소·내수 의존 '이중고'","","BAD","LOW","RISK_WARNING","ALIGNED","주석도금강판 시장의 구조적 수요 감소와 낮은 수익성으로 인해 신화다이나믹스의 실적 악화가 예상됩니다. 향후 성장 동력 확보 여부가 주목됩니다.","주석도금강판 사업부의 구체적인 수익성 지표(영업이익률 등) 및 향후 수익성 개선을 위한 구체적인 전략 및 투자 계획","","NEED_MORE","exclusive","","numeric_change","4","HIGH_CONFIRMED","EXACT","2025_annual","2026_q1","8208","3431","primary_report:2026 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20260515 / filing_date_prior:20260318 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-06 02:31:09","2026-06-08 19:53:21"
"","THIS_WEEK","(주)메카로","00652007","메카로, 신규 특허 확보로 태양광 사업 날개 단다","","GOOD","LOW","TRANSFORMATION","ALIGNED","메카로가 확보한 신규 특허는 기존 반도체 부품 사업의 기술적 우위를 강화하는 동시에, 자회사 메카로에너지의 태양광 사업 경쟁력을 높여 미래 성장 동력을 확보하겠다는 전략을 보여줍니다. 이는 회사의 사업 포트폴리오 다각화와 장기적인 성장 가능성을 시사합니다.","태양광 관련 특허의 구체적인 기술 내용 및 상용화 계획, 해외 특허 등록에 따른 메카로에너지의 일본 시장 진출 전략 및 예상 성과","","NEED_MORE","exclusive","","strategy_change","4","HIGH_CONFIRMED","EXACT","2025_annual","2026_q1","7735","3394","primary_report:2026 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20260513 / filing_date_prior:20260318 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-06 02:31:09","2026-06-08 19:53:21"
"","THIS_WEEK","(주)씨에스","00303703","(주)씨에스, R&D 비용 전액 비용 처리 '수익성 급락' 경고","","BAD","LOW","NEGATIVE_DECLINE","NEUTRAL","(주)씨에스가 연구개발비를 전액 비용으로 처리하는 회계 정책 변경을 단행했습니다. 이는 단기적으로 수익성 급락을 야기할 수 있으며, 투자자들의 주의가 요구됩니다.","연구개발비 회계처리 변경으로 인한 구체적인 단기 순이익 감소 예상치 확인","","CONFIRMED","exclusive","","numeric_change","4","HIGH_CONFIRMED","EXACT","2025_annual","2025_q1","2058","2769","primary_report:2025 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20250515 / filing_date_prior:20260319 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-05 22:59:12","2026-06-08 19:53:21"
"","THIS_WEEK","다보링크","01416642","다보링크, 신성장 동력 '친환경 사업' 전격 철수?","","BAD","MEDIUM","RISK_WARNING","CONTRARIAN","다보링크가 미래 신성장 동력으로 추진했던 친환경 생분해 사업 부문을 사업보고서에서 삭제했습니다. 이는 사업 철수를 의미하는지, 아니면 단순한 공시 전략 변경인지 명확한 확인이 필요합니다. 만약 철수가 맞다면, 회사의 성장 전략 부재와 기존 사업 의존도 심화에 대한 우려가 커질 수 있습니다.","친환경 생분해 사업 부문이 사업보고서에서 삭제된 구체적인 사유 (사업 철수인지, 공시 전략 변경인지 등) 확인","","NEED_MORE","exclusive","","strategy_change","5","HIGH_CONFIRMED","EXACT","2025_annual","2026_q1","9780","3873","primary_report:2026 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20260515 / filing_date_prior:20260323 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-06 21:21:05","2026-06-08 19:53:21"
"","THIS_WEEK","닷밀","01605282","닷밀, 단기 차입금 4배 급증…재무 건전성 '적신호'","","BAD","MEDIUM","RISK_WARNING","CONTRARIAN","닷밀의 단기 차입금이 1년 미만 기준으로 4배 이상 급증하며 재무 건전성에 대한 우려가 커지고 있습니다. 이는 이자 비용 부담 증가와 잠재적 유동성 리스크로 이어질 수 있어 투자자와 업계의 주의가 필요합니다.","단기 차입금 급증의 구체적인 사유 및 규모, 이자율, 상환 계획, 그리고 이로 인한 예상 이자 비용 증가분.","","NEED_MORE","exclusive","","risk_alert","4","HIGH_CONFIRMED","EXACT","2025_annual","2026_q1","8147","3921","primary_report:2026 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20260515 / filing_date_prior:20260318 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-07 09:40:39","2026-06-08 19:53:21"
"","THIS_WEEK","이오플로우","01274310","이오플로우, 비인슐린 펌프 사업 축소…성장 동력 상실 우려","","BAD","MEDIUM","RISK_WARNING","CONTRARIAN","이오플로우가 과거 적극적으로 추진했던 비인슐린 펌프 사업 관련 내용을 사업보고서에서 축소하며 미래 성장 동력에 대한 의문이 제기됩니다. 이는 핵심 사업인 인슐린 펌프에 대한 의존도를 심화시켜 기업 가치 재평가로 이어질 수 있습니다.","비인슐린 펌프 사업 축소의 구체적인 배경 및 공식적인 결정 여부 확인","","NEED_MORE","exclusive","","strategy_change","4","HIGH_CONFIRMED","EXACT","2025_annual","2026_q1","9066","3828","primary_report:2026 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20260515 / filing_date_prior:20260327 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-06 18:15:38","2026-06-08 19:53:21"
"","THIS_WEEK","(주)피플바이오","01118281","피플바이오, 단기차입금 45배 급증…자금 운용 계획은?","","BAD","MEDIUM","RISK_WARNING","CONTRARIAN","피플바이오의 단기차입금이 전기말 대비 45배 이상 급증하며 재무 건전성에 대한 우려가 커지고 있습니다. 급증 사유와 자금 운용 계획에 대한 명확한 설명이 필요합니다.","단기차입금 급증의 구체적인 사유, 자금의 사용처 및 운용 계획, 이자율 및 상환 계획, 향후 자금 조달 방안에 대한 취재가 필요합니다.","","NEED_MORE","exclusive","","risk_alert","4","HIGH_CONFIRMED","EXACT","2025_annual","2026_q1","8928","3772","primary_report:2026 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20260515 / filing_date_prior:20260407 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-06 18:15:38","2026-06-08 19:53:21"
"","THIS_WEEK","HB테크놀러지","00255275","HB테크놀러지, 디스플레이 장비 매출 의존도 심화","","BAD","MEDIUM","RISK_WARNING","ALIGNED","HB테크놀러지의 장비사업부 매출 중 특정 고객사 의존도가 1분기 만에 급증했습니다. 이는 사업 다각화 전략에 대한 의문을 제기하며, 향후 실적 변동성 확대 가능성을 시사합니다.","장비사업부 매출이 특정 프로젝트 수주로 인해 일시적으로 증가한 것인지, 아니면 구조적인 변화인지 확인 필요. 또한, 해당 매출이 삼성 계열사로 집중된 것인지 여부 확인.","","NEED_MORE","exclusive","","numeric_change","4","HIGH_CONFIRMED","EXACT","2025_annual","2026_q1","8595","3527","primary_report:2026 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20260515 / filing_date_prior:20260316 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-06 02:31:09","2026-06-08 19:53:21"
"","THIS_WEEK","(주)에이엔피","00143314","(주)에이엔피, 단기 차입금 급증…유동성 경색 우려","","BAD","MEDIUM","RISK_WARNING","ALIGNED","(주)에이엔피의 단기 차입금 급증은 회사의 재무 건전성에 대한 심각한 경고 신호입니다. 이는 잠재적인 유동성 위기로 이어질 수 있으며, 투자자와 채권자들에게 중요한 위험 요소로 작용할 수 있습니다.","단기 차입금 급증의 구체적인 사유, 자금 사용처, 상환 계획, 유동성 확보 방안에 대한 (주)에이엔피 IR팀의 공식적인 답변.","","NEED_MORE","exclusive","","risk_alert","4","HIGH_CONFIRMED","EXACT","2025_annual","2026_q1","8255","3443","primary_report:2026 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20260515 / filing_date_prior:20260323 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-06 02:31:09","2026-06-08 19:53:21"
"","THIS_MONTH","오로스테크놀로지","01016479","오로스테크놀로지, 2026년 일본 시장 진출 본격화","","GOOD","MEDIUM","POSITIVE_GROWTH","ALIGNED","오로스테크놀로지가 내수 중심에서 벗어나 해외 시장으로 눈을 돌립니다. 일본 시장 진출을 통해 새로운 성장 동력을 확보하고 글로벌 경쟁력을 강화할 수 있을지 주목됩니다.","일본 시장 진출을 위한 구체적인 파트너십, 현지 법인 설립 계획, 예상 매출 규모 등 상세 계획 확인 필요","","NEED_MORE","exclusive","","strategy_change","4","HIGH_CONFIRMED","EXACT","2025_annual","2025_q1","4160","3076","primary_report:2025 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20250513 / filing_date_prior:20260323 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-05 22:59:13","2026-06-08 19:53:21"
"","THIS_WEEK","한국석유공업","00157991","한국석유공업, 신사업 '아쿠아솔루션' 편입 및 사업 재편","","MIXED","MEDIUM","TRANSFORMATION","ALIGNED","한국석유공업이 신규 법인 '아쿠아솔루션'을 편입하고 기존 사업 일부를 정리하며 사업 포트폴리오 재편에 나섰습니다. 이는 친환경 사업 강화 및 미래 성장 동력 확보를 위한 전략적 움직임으로 해석됩니다.","아쿠아솔루션(주)의 구체적인 사업 내용, 편입 배경 및 기대 효과, 친환경 부표 사업 삭제의 정확한 사유 및 영향 범위에 대한 추가 확인이 필요합니다.","","NEED_MORE","exclusive","","strategy_change","4","HIGH_CONFIRMED","EXACT","2025_annual","2025_q1","1013","2622","primary_report:2025 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20250515 / filing_date_prior:20260319 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-05 22:59:12","2026-06-08 19:53:21"
